exp_name,problem,pc_train,pc_val,lr,num_trainimages,epochs
resnet50_set15_lr6e-05_numtrain10000_augment1_epochmult10_v0,15,1.0,0.9991071224212646,6e-05,10000,28
resnet50_set16_lr0.0003_numtrain10000_augment1_epochmult10_v0,16,0.9998999834060668,0.9998214244842528,0.0003,10000,28
resnet50_set16_lr0.0001_numtrain10000_augment1_epochmult10_v0,16,1.0,0.9992856979370116,0.0001,10000,28
resnet50_set16_lr6e-05_numtrain10000_augment1_epochmult10_v0,16,1.0,0.9985713958740234,5.9999999999999995e-05,10000,28
resnet50_set17_lr0.0003_numtrain10000_augment1_epochmult10_v0,17,0.9904999732971193,0.958571434020996,0.0003,10000,28
resnet50_set17_lr0.0001_numtrain10000_augment1_epochmult10_v0,17,0.9976999759674072,0.9491071105003356,0.0001,10000,28
resnet50_set17_lr6e-05_numtrain10000_augment1_epochmult10_v0,17,0.9993000030517578,0.9446428418159484,6e-05,10000,28
resnet50_set18_lr0.0003_numtrain10000_augment1_epochmult10_v0,18,0.9995999932289124,0.9946428537368774,0.0003,10000,28
resnet50_set18_lr0.0001_numtrain10000_augment1_epochmult10_v0,18,1.0,0.9948214292526244,0.0001,10000,28
resnet50_set18_lr6e-05_numtrain10000_augment1_epochmult10_v0,18,1.0,0.9930356740951538,5.9999999999999995e-05,10000,28
resnet50_set19_lr0.0003_numtrain10000_augment1_epochmult10_v0,19,0.9860000014305116,0.9553571343421936,0.0003,10000,28
resnet50_set19_lr0.0001_numtrain10000_augment1_epochmult10_v0,19,0.9988999962806702,0.9755356907844543,0.0001,10000,28
resnet50_set19_lr6e-05_numtrain10000_augment1_epochmult10_v0,19,0.9995999932289124,0.9657142758369446,6e-05,10000,28
resnet50_set20_lr0.0003_numtrain10000_augment1_epochmult10_v0,20,0.9536999464035034,0.9326785802841188,0.0003,10000,28
resnet50_set20_lr0.0001_numtrain10000_augment1_epochmult10_v0,20,0.9982999563217164,0.9766071438789368,0.0001,10000,28
resnet50_set20_lr6e-05_numtrain10000_augment1_epochmult10_v0,20,0.9989999532699584,0.972678542137146,5.9999999999999995e-05,10000,28
resnet50_set21_lr0.0003_numtrain10000_augment1_epochmult10_v0,21,0.9124999642372132,0.8100000023841858,0.0003,10000,28
resnet50_set21_lr0.0001_numtrain10000_augment1_epochmult10_v0,21,0.9922999739646912,0.8587499856948853,0.0001,10000,28
resnet50_set21_lr6e-05_numtrain10000_augment1_epochmult10_v0,21,0.9960999488830566,0.847678542137146,6e-05,10000,28
resnet50_set22_lr0.0003_numtrain10000_augment1_epochmult10_v0,22,0.9989999532699584,0.9958928227424622,0.0003,10000,28
resnet50_set22_lr0.0001_numtrain10000_augment1_epochmult10_v0,22,0.9995999932289124,0.9966071248054504,0.0001,10000,28
resnet50_set22_lr6e-05_numtrain10000_augment1_epochmult10_v0,22,0.9993999600410458,0.9951785802841188,5.9999999999999995e-05,10000,28
resnet50_set23_lr0.0003_numtrain10000_augment1_epochmult10_v0,23,1.0,1.0,0.0003,10000,28
resnet50_set23_lr0.0001_numtrain10000_augment1_epochmult10_v0,23,1.0,1.0,0.0001,10000,28
resnet50_set23_lr6e-05_numtrain10000_augment1_epochmult10_v0,23,1.0,0.9998214244842528,6e-05,10000,28
resnet50_set1_lr0.0003_numtrain1000_augment1_epochmult10_v0,1,1.0,0.8771428465843201,0.0003,1000,280
resnet50_set1_lr0.0001_numtrain1000_augment1_epochmult10_v0,1,1.0,0.8691071271896362,0.0001,1000,280
resnet50_set1_lr6e-05_numtrain1000_augment1_epochmult10_v0,1,1.0,0.835178554058075,5.9999999999999995e-05,1000,280
resnet50_set2_lr0.0003_numtrain1000_augment1_epochmult10_v0,2,1.0,1.0,0.0003,1000,280
resnet50_set2_lr0.0001_numtrain1000_augment1_epochmult10_v0,2,1.0,1.0,0.0001,1000,280
resnet50_set2_lr6e-05_numtrain1000_augment1_epochmult10_v0,2,1.0,1.0,6e-05,1000,280
resnet50_set3_lr0.0003_numtrain1000_augment1_epochmult10_v0,3,1.0,0.9998214244842528,0.0003,1000,280
resnet50_set3_lr0.0001_numtrain1000_augment1_epochmult10_v0,3,1.0,0.999642848968506,0.0001,1000,280
resnet50_set3_lr6e-05_numtrain1000_augment1_epochmult10_v0,3,1.0,0.99785715341568,5.9999999999999995e-05,1000,280
resnet50_set4_lr0.0003_numtrain1000_augment1_epochmult10_v0,4,1.0,1.0,0.0003,1000,280
resnet50_set4_lr0.0001_numtrain1000_augment1_epochmult10_v0,4,1.0,0.9998214244842528,0.0001,1000,280
resnet50_set4_lr6e-05_numtrain1000_augment1_epochmult10_v0,4,1.0,0.999642848968506,6e-05,1000,280
resnet50_set5_lr0.0003_numtrain1000_augment1_epochmult10_v0,5,1.0,0.6369642615318298,0.0003,1000,280
resnet50_set5_lr0.0001_numtrain1000_augment1_epochmult10_v0,5,1.0,0.6898214221000671,0.0001,1000,280
resnet50_set5_lr6e-05_numtrain1000_augment1_epochmult10_v0,5,1.0,0.6889285445213318,5.9999999999999995e-05,1000,280
resnet50_set6_lr0.0003_numtrain1000_augment1_epochmult10_v0,6,1.0,0.7007142901420593,0.0003,1000,280
resnet50_set6_lr0.0001_numtrain1000_augment1_epochmult10_v0,6,1.0,0.6683928370475769,0.0001,1000,280
resnet50_set6_lr6e-05_numtrain1000_augment1_epochmult10_v0,6,1.0,0.6703571081161499,6e-05,1000,280
resnet50_set7_lr0.0003_numtrain1000_augment1_epochmult10_v0,7,1.0,0.5674999952316284,0.0003,1000,280
resnet50_set7_lr0.0001_numtrain1000_augment1_epochmult10_v0,7,1.0,0.6128571629524231,0.0001,1000,280
resnet50_set7_lr6e-05_numtrain1000_augment1_epochmult10_v0,7,1.0,0.6187499761581421,5.9999999999999995e-05,1000,280
resnet50_set8_lr0.0003_numtrain1000_augment1_epochmult10_v0,8,1.0,0.98285710811615,0.0003,1000,280
resnet50_set8_lr0.0001_numtrain1000_augment1_epochmult10_v0,8,1.0,0.9798214435577391,0.0001,1000,280
resnet50_set8_lr6e-05_numtrain1000_augment1_epochmult10_v0,8,1.0,0.9732142686843872,6e-05,1000,280
resnet50_set9_lr0.0003_numtrain1000_augment1_epochmult10_v0,9,1.0,0.9992856979370116,0.0003,1000,280
resnet50_set9_lr0.0001_numtrain1000_augment1_epochmult10_v0,9,1.0,0.9967857003211976,0.0001,1000,280
resnet50_set9_lr6e-05_numtrain1000_augment1_epochmult10_v0,9,1.0,0.9939285516738892,5.9999999999999995e-05,1000,280
resnet50_set10_lr0.0003_numtrain1000_augment1_epochmult10_v0,10,1.0,0.9944642782211304,0.0003,1000,280
resnet50_set10_lr0.0001_numtrain1000_augment1_epochmult10_v0,10,1.0,0.9941071271896362,0.0001,1000,280
resnet50_set10_lr6e-05_numtrain1000_augment1_epochmult10_v0,10,1.0,0.9917857050895692,6e-05,1000,280
resnet50_set11_lr0.0003_numtrain1000_augment1_epochmult10_v0,11,1.0,0.9998214244842528,0.0003,1000,280
resnet50_set11_lr0.0001_numtrain1000_augment1_epochmult10_v0,11,1.0,0.9998214244842528,0.0001,1000,280
resnet50_set11_lr6e-05_numtrain1000_augment1_epochmult10_v0,11,1.0,1.0,5.9999999999999995e-05,1000,280
resnet50_set12_lr0.0003_numtrain1000_augment1_epochmult10_v0,12,1.0,0.9973214268684388,0.0003,1000,280
resnet50_set12_lr0.0001_numtrain1000_augment1_epochmult10_v0,12,1.0,0.9928571581840516,0.0001,1000,280
resnet50_set12_lr6e-05_numtrain1000_augment1_epochmult10_v0,12,1.0,0.9923214316368104,6e-05,1000,280
resnet50_set13_lr0.0003_numtrain1000_augment1_epochmult10_v0,13,1.0,0.9716071486473083,0.0003,1000,280
resnet50_set13_lr0.0001_numtrain1000_augment1_epochmult10_v0,13,1.0,0.968392848968506,0.0001,1000,280
resnet50_set13_lr6e-05_numtrain1000_augment1_epochmult10_v0,13,1.0,0.962142825126648,5.9999999999999995e-05,1000,280
resnet50_set14_lr0.0003_numtrain1000_augment1_epochmult10_v0,14,0.9940000176429749,0.9860714077949524,0.0003,1000,280
resnet50_set14_lr0.0001_numtrain1000_augment1_epochmult10_v0,14,1.0,0.9676785469055176,0.0001,1000,280
